trick_name,source,proposed_formula,formula_status,add_status,topology_status,blocker_type,blocker_description,recommended_next_step,wave2_dependency,safe_to_publish_observationally,coverage_tier,notes
Colossus,passback,Spinning Diving near Symp. Whirl,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Creature,passback,(downtime) Miraging Symp. Illusion,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Dada Curve,passback,miraging far symposium butterfly,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Darkwalk,passback,Pixie Diving near Butterfly,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
DATW/Double ATW,passback,double-dex ATW,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
DDD/Down Double Down,passback,Clipper near Double Down,approximate_formula,external_only,structurally_placed,partial_recognition,Slice R canonical-gap; some operators not in IFPA registry,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Delusion,passback,double-dex Illusion,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Dimmier,passback,Pixie near Double Down,no_formula_available,external_only,unknown,folk_derived,folk name; mechanical decomposition uncertain,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,folk-derived; no mechanical decomposition
Dimmiest,passback,Pixie far Double Down,no_formula_available,external_only,unknown,folk_derived,folk name; mechanical decomposition uncertain,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,folk-derived; no mechanical decomposition
Dimwalk,passback,pixie butterfly,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
"DLO (""dee-ell-oh"")",passback,(downtime) Miraging far Legover,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
DOD/Double Over Down,passback,Toe near Double Down,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Dolomite,passback,Toe far Symp. Double Down,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Double Down,passback,double-dex Butterfly,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Dragon,passback,Xbd Outside Stall,policy_dependent_formula,unknown,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Drifter,passback,miraging clipper,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
DSO,passback,double-dex Legover,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Dyno,passback,(downtime) Whipping Osis,exact_formula,divergent,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
E-Walk,passback,Frantic op Butterfly,policy_dependent_formula,unknown,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Eggbeater,passback,atomic legover,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Ego,passback,Atomic far Blender,policy_dependent_formula,external_only,branch_family_implicit,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,hidden-branch-family candidate; Wave 2-dependent on operator boundary
Enterrage,passback,"Terraging Legover, (midtime) Toe near Flurry",policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Fairy (archaic),passback,Midtime Toe near Illusion,policy_dependent_formula,unknown,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Fairy Beater,passback,Fairy far Butterfly,policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Fear,passback,Fairy far Mirage,policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Fission,passback,Barraging far Illusion,policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Flail,passback,symposium illusion,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Flapper,passback,Xbd Sole Stall,exact_formula,stable,unknown,none,alias of an existing IFPA canonical row,no_action,false,false,tier_a_canonical_exact,
Flare,passback,Symp. Whirling far Mirage,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Flurricane,passback,Gyro Flurry,approximate_formula,external_only,structurally_placed,partial_recognition,Slice R canonical-gap; some operators not in IFPA registry,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Flurry,passback,barraging legover,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Flux,passback,(downtime) Illusioning far Osis,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Fog,passback,Stepping far DLO,exact_formula,divergent,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Food Processor,passback,blurry blender | stepping paradox blender,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Frankenstein,passback,"Fairy near Swirling near Swirl, Phasing near Swirl, Fairy Ripstein",policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Fudge,passback,Fairy far Illusion,policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Fury,passback,Barraging far Mirage,exact_formula,divergent,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Fusion,passback,atomic double over down,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Gangsta Party,passback,Spinning Ducking far Blender,policy_dependent_formula,external_only,branch_family_implicit,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,hidden-branch-family candidate; Wave 2-dependent on operator boundary
Gary Coleman,passback,"BS Reactor, Atomic far Symp. Whirl",policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Gauntlet,passback,blurry ducking torque | stepping ducking paradox torque,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
"GDLO (""gee-dee-ell-oh"")",passback,Gyro DLO,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Genesis,passback,Barraging far Whirl,policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Ghost,passback,Whirling Rake,policy_dependent_formula,unknown,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Golden Shower,passback,Stepping Ducking far Symp. Eggbeater,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Goliath,passback,"Pixie Ducking far DLO, Alpine Smog",policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Gravedigger,passback,stepping ss torque,exact_formula,divergent,unknown,none,external formula matches an IFPA chain reading,no_action,false,false,tier_a_canonical_exact,
Green Eggs and Ham,passback,Stepping Ducking far Swivel,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Grifter,passback,(downtime) Illusioning far Clipper,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Guay,passback,Pickup,exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
GYBAS/Grab Your Balls and Squeeze,passback,Stepping far Dyno,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Hatchet,passback,Clipper Diving near Whirl,exact_formula,divergent,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Heart,passback,Frantic far Double Down Swirl,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
High Plains Drifter,passback,double-dex Drifter/(midtime) Barraging far Clipper,exact_formula,divergent,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Icarus,passback,Atomic Ducking far Torque,policy_dependent_formula,external_only,branch_family_implicit,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,hidden-branch-family candidate; Wave 2-dependent on operator boundary
Id,passback,"Atomic Ducking far Double Down, Alpine Fusion",policy_dependent_formula,unknown,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Illusion,passback,(downtime) leggy out dex>op toe,exact_formula,divergent,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Irish Cream,passback,"Atomic Gyro Torque, Tapping Mobius",approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Jackknife,passback,"Stepping Diving ss Butterfly, Alpine Sidewalk",policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
"Janiwalker (""johnny walker"")",passback,Barraging far Butterfly,policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Johnny Vodka,passback,Pixie Mobius,approximate_formula,unknown,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Kilo,passback,Miraging Kilo,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
King Koopa,passback,"Spinning Ducking far Symp.Torque, Alpine Super Mario",policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Kiwi,passback,Tapping Double Down,no_formula_available,unknown,unknown,folk_derived,folk name; mechanical decomposition uncertain,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,folk-derived; no mechanical decomposition
Lawn Moir,passback,Slicing far Butterfly,policy_dependent_formula,unknown,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Legbeater,passback,atomic butterfly,exact_formula,divergent,unknown,none,alias of an existing IFPA canonical row,no_action,false,false,tier_a_canonical_exact,
Legbreaker,passback,"Flailing far Butterfly, Symp. Atomic far Butterfly",approximate_formula,external_only,structurally_placed,partial_recognition,Slice R canonical-gap; some operators not in IFPA registry,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Legeater,passback,(downtime) Miraging Pickup,exact_formula,divergent,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Legover,passback,(downtime) leggy out dex>ss toe,exact_formula,divergent,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Leviathon,passback,Stepping Ducking far Double Down,no_formula_available,external_only,unknown,folk_derived,folk name; mechanical decomposition uncertain,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,folk-derived; no mechanical decomposition
Locomotion,passback,Stepping far Motion,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Maelstrom,passback,"Spinning Ducking far Whirl, Alpine Spinning Whirl, Spinning Tomahawk",policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Magellan,passback,pixie legover,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Mama Curve,passback,(downtime) Illusioning far Symp. Butterfly,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Mantis,passback,Spinning near Eggbeater,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Marius,passback,spinning torque,exact_formula,divergent,unknown,none,alias of an existing IFPA canonical row,no_action,false,false,tier_a_canonical_exact,
Massacre,passback,(downtime) Illusioning Flail,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Matador,passback,nuclear butterfly | paradox atomic butterfly,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Merkon,passback,spinning legover,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Merlin,passback,(downtime) Miraging Symp.Mirage,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Mind Bender,passback,ducking paradox blender,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Mirage,passback,(downtime) hippy in dex>op toe,exact_formula,divergent,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Mobius,passback,gyro torque | spinning ss torque | spinning ss miraging op osis,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Moby Dick,passback,"Mobiusscrew, Gyro Torquescrew",policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Mofly,passback,(downtime) Miraging far Symp. Double Down,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Monster,passback,Symp. Swirling Gyro Inside,policy_dependent_formula,unknown,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Montage,passback,spinning ducking paradox symposium whirl,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Morpheus,passback,"Spinning Ducking far Drifter, Alpine Void",policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Mortal Kombat,passback,Stepping Ducking far Grifter,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Motion,passback,Double Down near Osis,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Motion Sickness,passback,Spinning far Motion,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Motorfly,passback,,no_formula_available,unknown,unknown,no_structural_reading,external source supplies no parseable structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external lacks structural decomposition
Mullet,passback,"Clipper Ducking far Symp. Whirl, Symp. Tomahwak",exact_formula,divergent,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Nallegam,passback,Fairy near Pickup,policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Nebula,passback,Barraging far DLO,policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Nemesis,passback,furious barfly,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Nemosis,passback,"Barraging far Motion, Nemesis Osis",policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Nova,passback,Symp. DLO,approximate_formula,unknown,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Orbit,passback,toe>ss leggy out dex>ss toe,exact_formula,divergent,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Osis,passback,(downtime) Gyro Clipper,exact_formula,divergent,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Pandemonium,passback,"Pixie far Symp. Eggbeater, BS Pigbeater",policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Pandora's Box,passback,Gyro Pickup,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Paradon,passback,Toe far Double Down,exact_formula,divergent,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Paratoxic,passback,Pdx. Toxic,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Parkwalk,passback,pixie butterfly,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Paste,passback,Pixie far Pickup,exact_formula,divergent,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Phobia,passback,"Fairy Mobius, Fairy Gyro Torque",policy_dependent_formula,external_only,branch_family_implicit,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,hidden-branch-family candidate; Wave 2-dependent on operator boundary
Phoenix,passback,pixie ducking butterfly,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Pickup,passback,(downtime) leggy in dex>ss toe,exact_formula,divergent,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Pigbeater,passback,pixie eggbeater,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Pixie (archaic),passback,Midtime Toe near Mirage,policy_dependent_formula,unknown,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Plasma,passback,quantum double over down,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
PLO,passback,pixie legover,exact_formula,divergent,structurally_placed,none,external formula matches an IFPA chain reading,no_action,false,false,tier_a_canonical_exact,
POD,passback,"Pixie DOD, Pixie near Double Down",no_formula_available,external_only,unknown,no_structural_reading,external source supplies no parseable structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external lacks structural decomposition
Pogo,passback,"Pogo far Mirage, (uptime) Symp. Miraging far Mirage",exact_formula,divergent,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Porque,passback,Pixie Torque,policy_dependent_formula,external_only,branch_family_implicit,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,hidden-branch-family candidate; Wave 2-dependent on operator boundary
Predator,passback,Atomic far DLO,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
PS Whirl,passback,ps whirl,exact_formula,stable,unknown,none,alias of an existing IFPA canonical row,no_action,false,false,tier_a_canonical_exact,
Quark,passback,Quantum far Torque,policy_dependent_formula,external_only,branch_family_implicit,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,hidden-branch-family candidate; Wave 2-dependent on operator boundary
Rage,passback,"BS Fury, (uptime) Baragging far Symp. Mirage",policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Rake,passback,Toe Stall dragged from Xbd position,policy_dependent_formula,unknown,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Reactor,passback,Atomic far Whirl,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Reaper,passback,Clipper far DSO,exact_formula,divergent,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Refraction,passback,Butterfy near Osis,exact_formula,divergent,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Revstein,passback,double-dex Twist,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Revup,passback,(downtime) Twisting near Pickup,exact_formula,divergent,unknown,none,alias of an existing IFPA canonical row,no_action,false,false,tier_a_canonical_exact,
Ripcurl,passback,"Stepping near Butterfly Swirl, Sidewalk Swirl",approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Ripped Warrior,passback,"Stepping Ducking Butterfly, Alpine Ripwalk",policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Ripstein,passback,"double-dex Swirl, Swirling near Swirl",exact_formula,divergent,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Riptide,passback,"Stepping far Butterfly Swirl, Ripwalk Swirl",approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Ripwalk,passback,stepping butterfly,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Rotor,passback,(downtime) Swirling Gyro Inside Stall,policy_dependent_formula,unknown,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Royale,passback,paradox reverse drifter,exact_formula,divergent,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Schmoe,passback,Stepping near Legover,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Scorpion's Tail,passback,Spinning far Double Down,no_formula_available,external_only,unknown,folk_derived,folk name; mechanical decomposition uncertain,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,folk-derived; no mechanical decomposition
Shaft,passback,"Clipper near Symp. Double Down, Symp. DDD",policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Shooting Star,passback,"Shooting far Double Down, Pogo Nuclear far Double Down",no_formula_available,external_only,unknown,folk_derived,folk name; mechanical decomposition uncertain,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,folk-derived; no mechanical decomposition
Sidewinder,passback,"Fairy Spinning near Barraging far Buterfly, Fairy Gyro Janiwalker",policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Sidwalk,passback,stepping butterfly,exact_formula,divergent,structurally_placed,none,external formula matches an IFPA chain reading,no_action,false,false,tier_a_canonical_exact,
